Year,Route,Borough,Avg. Ridership
2016,S44/94,Staten Island,"7,016"
2016,S46/96,Staten Island,"7,299"
2016,S48/98,Staten Island,"7,702"
2016,S51/81,Staten Island,"4,169"
2016,S52,Staten Island,"3,450"
2016,S53,Staten Island,"9,378"
2016,S54,Staten Island,"1,315"
2016,S55,Staten Island,355
2016,S56,Staten Island,515
2016,S57,Staten Island,"1,436"
2016,S59,Staten Island,"3,592"
2016,S61/91,Staten Island,"4,385"
2016,S62/92,Staten Island,"4,431"
2016,S66,Staten Island,"1,659"
2016,S74/84,Staten Island,"5,411"
2016,S76/86,Staten Island,"4,617"
2016,S78,Staten Island,"6,163"
2016,S79SBS,Staten Island,"11,378"
2016,S89,Staten Island,756
2016,S93,Staten Island,"3,686"
2016,S OTHER,Staten Island,279
2016,X1,Express,"6,019"
2016,X2,Express,"1,550"
2016,X3,Express,486
2016,X4,Express,645
2016,X5,Express,"1,865"
2016,X7,Express,"1,753"
2016,X8,Express,817
2016,X9,Express,"1,105"
2016,X10,Express,"2,825"
2016,X11,Express,705
2016,X12/42,Express,"2,235"
2016,X14,Express,894
2016,X15,Express,"1,149"
2016,X17,Express,"6,114"
2016,X19,Express,"1,018"
2016,X21,Express,488
2016,X22,Express,"2,304"
2016,X27/37,Express,"3,106"
2016,X28/38,Express,"2,634"
2016,X30,Express,860
2016,X31,Express,675
2016,X63,Express,598
2016,X64,Express,319
2016,X68,Express,546
2017,B1,Brooklyn,"18,987"
2017,B2,Brooklyn,"2,216"
2017,B3,Brooklyn,"11,544"
2017,B4,Brooklyn,"6,207"
2017,B6,Brooklyn,"40,135"
2017,B7,Brooklyn,"5,814"
2017,B8,Brooklyn,"18,981"
2017,B9,Brooklyn,"14,495"
2017,B11,Brooklyn,"10,471"
2017,B12,Brooklyn,"13,604"
2017,B13,Brooklyn,"6,193"
2017,B14,Brooklyn,"6,577"
2017,B15,Brooklyn,"19,827"
2017,B16,Brooklyn,"6,760"
2017,B17,Brooklyn,"10,403"
2017,B20,Brooklyn,"6,765"
2017,B24,Brooklyn,"2,293"
2017,B25,Brooklyn,"8,880"
2017,B26,Brooklyn,"9,011"
2017,B31,Brooklyn,"2,721"
2017,B32,Brooklyn,849
2017,B35,Brooklyn,"29,899"
2017,B36,Brooklyn,"13,108"
2017,B37,Brooklyn,"2,558"
2017,B38,Brooklyn,"18,828"
2017,B39,Brooklyn,239
2017,B41,Brooklyn,"24,970"
2017,B42,Brooklyn,"3,885"
2017,B43,Brooklyn,"9,832"
2017,B44Lcl/SBS,Brooklyn,"34,877"
2017,B45,Brooklyn,"5,510"
2017,B46Lcl/SBS,Brooklyn,"41,786"
2017,B47,Brooklyn,"9,495"
2017,B48,Brooklyn,"3,683"
2017,B49,Brooklyn,"11,674"
2017,B52,Brooklyn,"11,326"
2017,B54,Brooklyn,"9,640"
2017,B57,Brooklyn,"7,064"
2017,B60,Brooklyn,"9,443"
2017,B61,Brooklyn,"9,377"
2017,B62,Brooklyn,"7,292"
2017,B63,Brooklyn,"12,008"
2017,B64,Brooklyn,"5,273"
2017,B65,Brooklyn,"3,151"
2017,B67,Brooklyn,"4,511"
2017,B68,Brooklyn,"13,586"
2017,B69,Brooklyn,"4,308"
2017,B70,Brooklyn,"6,229"
2017,B74,Brooklyn,"3,911"
2017,B82Lcl/SBS,Brooklyn,"26,599"
2017,B83,Brooklyn,"7,795"
2017,B84,Brooklyn,548
2017,B OTHER,Brooklyn,385
2017,Bx1/2,Brooklyn,"33,374"
2017,Bx3,Brooklyn,"14,186"
2017,Bx4,Brooklyn,"9,904"
2017,Bx5,Brooklyn,"10,236"
2017,Bx6Lcl/SBS,Brooklyn,"22,896"
2017,Bx7,Brooklyn,"13,558"
2017,Bx8,Brooklyn,"6,918"
2017,Bx9,Brooklyn,"25,251"
2017,Bx10,Brooklyn,"10,858"
2017,Bx11,Brooklyn,"13,087"
2017,Bx12Lcl/SBS,Brooklyn,"46,104"
2017,Bx13,Brooklyn,"11,395"
2017,Bx15,Brooklyn,"25,145"
2017,Bx16,Brooklyn,"7,834"
2017,Bx17,Brooklyn,"9,391"
2017,Bx18,Brooklyn,"1,763"
2017,Bx19,Brooklyn,"26,454"
2017,Bx20,Brooklyn,754
2017,Bx21,Brooklyn,"13,709"
2017,Bx22,Brooklyn,"13,680"
2017,Bx24,Brooklyn,787
2017,Bx26,Brooklyn,"7,507"
2017,Bx27,Brooklyn,"7,048"
2017,Bx28/38,Brooklyn,"14,448"
2017,Bx29,Brooklyn,"2,371"
2017,Bx30,Brooklyn,"8,995"
2017,Bx31,Brooklyn,"9,160"
2017,Bx32,Brooklyn,"6,351"
2017,Bx33,Brooklyn,"2,684"
2017,Bx34,Brooklyn,"4,011"
2017,Bx35,Brooklyn,"16,247"
2017,Bx36,Brooklyn,"27,786"
2017,Bx39,Brooklyn,"15,010"
2017,Bx40/42,Brooklyn,"22,789"
2017,Bx41Lcl/SBS,Brooklyn,"21,088"
2017,Bx46,Brooklyn,600
2017,Bx OTHER,Brooklyn,284
2017,M1,Manhatten,"9,525"
2017,M2,Manhatten,"8,762"
2017,M3,Manhatten,"12,626"
2017,M4,Manhatten,"14,898"
2017,M5,Manhatten,"6,893"
2017,M7,Manhatten,"12,048"
2017,M8,Manhatten,"1,884"
2017,M9,Manhatten,"4,960"
2017,M10,Manhatten,"6,386"
2017,M11,Manhatten,"9,620"
2017,M12,Manhatten,532
2017,M14Lcl/SBS,Manhatten,"28,388"
2017,M15Lcl/SBS,Manhatten,"43,343"
2017,M20,Manhatten,"2,184"
2017,M21,Manhatten,"1,397"
2017,M22,Manhatten,"2,521"
2017,M23SBS,Manhatten,"13,212"
2017,M31,Manhatten,"8,847"
2017,M34SBS,Manhatten,"15,130"
2017,M35,Manhatten,803
2017,M42,Manhatten,"9,976"
2017,M50,Manhatten,"2,650"
2017,M57,Manhatten,"6,002"
2017,M60SBS,Manhatten,"15,804"
2017,M66,Manhatten,"8,442"
2017,M72,Manhatten,"4,585"
2017,M79SBS,Manhatten,"12,011"
2017,M86SBS,Manhatten,"20,247"
2017,M96,Manhatten,"13,995"
2017,M98,Manhatten,"1,665"
2017,M100,Manhatten,"16,048"
2017,M101,Manhatten,"22,434"
2017,M102,Manhatten,"11,522"
2017,M103,Manhatten,"8,834"
2017,M104,Manhatten,"7,587"
2017,M106,Manhatten,"2,303"
2017,M116,Manhatten,"9,589"
2017,M OTHER,Manhatten,391
2017,Q1,Queens,"4,218"
2017,Q2,Queens,"5,550"
2017,Q3,Queens,"9,425"
2017,Q4,Queens,"9,037"
2017,Q5,Queens,"11,313"
2017,Q12,Queens,"10,792"
2017,Q13,Queens,"8,165"
2017,Q15,Queens,"5,805"
2017,Q16,Queens,"4,001"
2017,Q17,Queens,"15,932"
2017,Q20,Queens,"14,577"
2017,Q24,Queens,"8,175"
2017,Q26,Queens,"1,535"
2017,Q27,Queens,"23,777"
2017,Q28,Queens,"9,432"
2017,Q30,Queens,"10,155"
2017,Q31,Queens,"5,791"
2017,Q32,Queens,"9,186"
2017,Q36,Queens,"6,060"
2017,Q42,Queens,"1,184"
2017,Q43,Queens,"14,295"
2017,Q44SBS,Queens,"27,178"
2017,Q46,Queens,"20,754"
2017,Q48,Queens,"2,813"
2017,Q54,Queens,"11,385"
2017,Q55,Queens,"7,147"
2017,Q56,Queens,"7,894"
2017,Q58,Queens,"28,810"
2017,Q59,Queens,"7,090"
2017,Q76,Queens,"5,695"
2017,Q77,Queens,"6,165"
2017,Q83,Queens,"8,439"
2017,Q84,Queens,"4,349"
2017,Q85,Queens,"11,400"
2017,Q88,Queens,"11,084"
2017,Q OTHER,Queens,504
2017,S40/90,Staten Island,"4,378"
2017,S42,Staten Island,883
2017,S44/94,Staten Island,"6,527"
2017,S46/96,Staten Island,"6,942"
2017,S48/98,Staten Island,"7,346"
2017,S51/81,Staten Island,"3,976"
2017,S52,Staten Island,"3,412"
2017,S53,Staten Island,"9,136"
2017,S54,Staten Island,"1,114"
2017,S55,Staten Island,298
2017,S56,Staten Island,486
2017,S57,Staten Island,"1,349"
2017,S59,Staten Island,"3,397"
2017,S61/91,Staten Island,"4,217"
2017,S62/92,Staten Island,"4,212"
2017,S66,Staten Island,"1,619"
2017,S74/84,Staten Island,"5,325"
2017,S76/86,Staten Island,"4,331"
2017,S78,Staten Island,"6,004"
2017,S79SBS,Staten Island,"11,266"
2017,S89,Staten Island,699
2017,S93,Staten Island,"3,789"
2017,S OTHER,Staten Island,358
2017,X1,Express,"5,899"
2017,X2,Express,"1,477"
2017,X3,Express,475
2017,X4,Express,652
2017,X5,Express,"1,850"
2017,X7,Express,"1,688"
2017,X8,Express,817
2017,X9,Express,984
2017,X10,Express,"2,758"
2017,X11,Express,687
2017,X12/42,Express,"2,201"
2017,X14,Express,845
2017,X15,Express,"1,098"
2017,X17,Express,"6,142"
2017,X19,Express,"1,011"
2017,X21,Express,541
2017,X22,Express,"2,240"
2017,X27/37,Express,"3,041"
2017,X28/38,Express,"2,663"
2017,X30,Express,848
2017,X31,Express,683
2017,X63,Express,613
2017,X64,Express,299
2017,X68,Express,524
2018,B1,Brooklyn,"18,180"
2018,B2,Brooklyn,"2,088"
2018,B3,Brooklyn,"11,309"
2018,B4,Brooklyn,"6,192"
2018,B6,Brooklyn,"35,963"
2018,B7,Brooklyn,"5,091"
2018,B8,Brooklyn,"18,388"
2018,B9,Brooklyn,"14,416"
2018,B11,Brooklyn,"10,377"
2018,B12,Brooklyn,"12,124"
2018,B13,Brooklyn,"6,084"
2018,B14,Brooklyn,"5,900"
2018,B15,Brooklyn,"17,977"
2018,B16,Brooklyn,"6,184"
2018,B17,Brooklyn,"9,382"
2018,B20,Brooklyn,"6,315"
2018,B24,Brooklyn,"2,449"
2018,B25,Brooklyn,"7,874"
2018,B26,Brooklyn,"8,234"
2018,B31,Brooklyn,"2,619"
2018,B32,Brooklyn,820
2018,B35,Brooklyn,"27,273"
2018,B36,Brooklyn,"12,305"
2018,B37,Brooklyn,"2,300"
2018,B38,Brooklyn,"18,011"
2018,B39,Brooklyn,220
2018,B41,Brooklyn,"22,967"
2018,B42,Brooklyn,"3,546"
2018,B43,Brooklyn,"9,346"
2018,B44Lcl/SBS,Brooklyn,"32,334"
2018,B45,Brooklyn,"4,973"
2018,B46Lcl/SBS,Brooklyn,"38,120"
2018,B47,Brooklyn,"9,252"
2018,B48,Brooklyn,"3,534"
2018,B49,Brooklyn,"10,886"
2018,B52,Brooklyn,"9,940"
2018,B54,Brooklyn,"9,197"
2018,B57,Brooklyn,"6,851"
2018,B60,Brooklyn,"8,364"
2018,B61,Brooklyn,"8,876"
2018,B62,Brooklyn,"6,841"
2018,B63,Brooklyn,"11,148"
2018,B64,Brooklyn,"5,442"
2018,B65,Brooklyn,"2,795"
2018,B67,Brooklyn,"4,441"
2018,B68,Brooklyn,"12,660"
2018,B69,Brooklyn,"4,134"
2018,B70,Brooklyn,"6,520"
2018,B74,Brooklyn,"3,598"
2018,B82Lcl/SBS,Brooklyn,"25,126"
2018,B83,Brooklyn,"7,024"
2018,B84,Brooklyn,544
2018,B OTHER,Brooklyn,683
2018,Bx1/2,Brooklyn,"30,134"
2018,Bx3,Brooklyn,"12,538"
2018,Bx4,Brooklyn,"9,043"
2018,Bx5,Brooklyn,"9,133"
2018,Bx6Lcl/SBS,Brooklyn,"22,824"
2018,Bx7,Brooklyn,"13,257"
2018,Bx8,Brooklyn,"6,356"
2018,Bx9,Brooklyn,"23,180"
2018,Bx10,Brooklyn,"10,358"
2018,Bx11,Brooklyn,"11,536"
2018,Bx12Lcl/SBS,Brooklyn,"42,377"
2018,Bx13,Brooklyn,"10,217"
2018,Bx15,Brooklyn,"21,777"
2018,Bx16,Brooklyn,"7,026"
2018,Bx17,Brooklyn,"8,187"
2018,Bx18,Brooklyn,"1,580"
2018,Bx19,Brooklyn,"23,259"
2018,Bx20,Brooklyn,813
2018,Bx21,Brooklyn,"12,097"
2018,Bx22,Brooklyn,"12,391"
2018,Bx24,Brooklyn,771
2018,Bx26,Brooklyn,"6,743"
2018,Bx27,Brooklyn,"6,145"
2018,Bx28/38,Brooklyn,"13,124"
2018,Bx29,Brooklyn,"2,254"
2018,Bx30,Brooklyn,"7,973"
2018,Bx31,Brooklyn,"8,295"
2018,Bx32,Brooklyn,"5,746"
2018,Bx33,Brooklyn,"2,318"
2018,Bx34,Brooklyn,"3,408"
2018,Bx35,Brooklyn,"14,326"
2018,Bx36,Brooklyn,"24,736"
2018,Bx39,Brooklyn,"13,247"
2018,Bx40/42,Brooklyn,"19,995"
2018,Bx41Lcl/SBS,Brooklyn,"18,313"
2018,Bx46,Brooklyn,548
2018,Bx OTHER,Brooklyn,472
2018,M1,Manhatten,"9,568"
2018,M2,Manhatten,"8,504"
2018,M3,Manhatten,"12,324"
2018,M4,Manhatten,"14,905"
2018,M5,Manhatten,"6,944"
2018,M7,Manhatten,"12,190"
2018,M8,Manhatten,"1,616"
2018,M9,Manhatten,"4,779"
2018,M10,Manhatten,"6,083"
2018,M11,Manhatten,"9,271"
2018,M12,Manhatten,547
2018,M14Lcl/SBS,Manhatten,"26,637"
2018,M15Lcl/SBS,Manhatten,"44,725"
2018,M20,Manhatten,"2,083"
2018,M21,Manhatten,"1,421"
2018,M22,Manhatten,"2,201"
2018,M23SBS,Manhatten,"13,674"
2018,M31,Manhatten,"8,932"
2018,M34SBS,Manhatten,"14,824"
2018,M35,Manhatten,664
2018,M42,Manhatten,"9,430"
2018,M50,Manhatten,"2,445"
2018,M57,Manhatten,"5,820"
2018,M60SBS,Manhatten,"16,018"
2018,M66,Manhatten,"8,161"
2018,M72,Manhatten,"4,306"
2018,M79SBS,Manhatten,"12,337"
2018,M86SBS,Manhatten,"19,035"
2018,M96,Manhatten,"13,637"
2018,M98,Manhatten,"1,523"
2018,M100,Manhatten,"14,596"
2018,M101,Manhatten,"22,642"
2018,M102,Manhatten,"11,868"
2018,M103,Manhatten,"8,979"
2018,M104,Manhatten,"7,136"
2018,M106,Manhatten,"2,183"
2018,M116,Manhatten,"9,071"
2018,M OTHER,Manhatten,345
2018,Q1,Queens,"4,161"
2018,Q2,Queens,"5,320"
2018,Q3,Queens,"8,709"
2018,Q4,Queens,"8,645"
2018,Q5,Queens,"10,844"
2018,Q12,Queens,"10,162"
2018,Q13,Queens,"7,421"
2018,Q15,Queens,"5,692"
2018,Q16,Queens,"3,917"
2018,Q17,Queens,"15,475"
2018,Q20,Queens,"13,838"
2018,Q24,Queens,"7,373"
2018,Q26,Queens,"1,375"
2018,Q27,Queens,"23,079"
2018,Q28,Queens,"8,950"
2018,Q30,Queens,"9,452"
2018,Q31,Queens,"5,595"
2018,Q32,Queens,"9,810"
2018,Q36,Queens,"5,899"
2018,Q42,Queens,"1,156"
2018,Q43,Queens,"13,434"
2018,Q44SBS,Queens,"25,646"
2018,Q46,Queens,"20,028"
2018,Q48,Queens,"2,907"
2018,Q54,Queens,"10,567"
2018,Q55,Queens,"6,761"
