Average Weekday New York City Transit Bus Ridership,,,,,,,,,,,
Route,*,2016,2017,2018,2019,2020,2021,,2020-2021 Change,,2021 Rank
Q28,,"9,893","9,432","8,950","8,723","4,413","4,646",,+233,+5.3%,86
Q30,,"10,555","10,155","9,452","9,467","3,837","4,142",,+305,+7.9%,100
Q31,,"5,692","5,791","5,595","5,465","2,360","2,709",,+349,+14.8%,130
Q32,,"9,454","9,186","9,810","9,683","7,154","5,660",,"-1,494",-20.9%,62
Q36,,"6,101","6,060","5,899","5,908","3,360","3,461",,+101,+3.0%,110
Q42,,"1,195","1,184","1,156","1,158",549,611,,+62,+11.3%,172
Q43,,"14,853","14,295","13,434","13,325","7,393","7,292",,-101,-1.4%,38
Q44SBS,,"27,712","27,178","25,646","24,484","11,463","13,380",,"+1,917",+16.7%,11
Q46,,"21,468","20,754","20,028","19,678","9,200","9,716",,+516,+5.6%,25
Q48,,"2,854","2,813","2,907","2,770","2,120","1,539",,-581,-27.4%,154
Q54,,"11,952","11,385","10,567","10,094","6,696","6,620",,-76,-1.1%,50
Q55,,"7,343","7,147","6,761","6,419","4,051","4,328",,+277,+6.8%,94
Q56,,"7,862","7,894","7,630","6,989","5,290","4,759",,-531,-10.0%,80
Q58,,"29,412","28,810","27,940","27,638","17,597","17,627",,+30,+0.2%,6
Q59,,"7,127","7,090","6,768","6,814","4,043","4,305",,+262,+6.5%,97
Q76,,"5,742","5,695","5,341","5,350","2,826","2,890",,+64,+2.3%,127
Q77,,"6,413","6,165","5,744","5,726","3,072","3,316",,+244,+7.9%,113
Q83,,"8,664","8,439","8,168","8,012","4,583","4,664",,+81,+1.8%,84
Q84,,"4,441","4,349","4,225","4,180","2,270","2,323",,+53,+2.3%,135
Q85,,"11,820","11,400","10,939","10,699","6,070","6,023",,-47,-0.8%,59
Q88,,"11,010","11,084","10,937","11,099","5,164","5,523",,+359,+7.0%,66
Q OTHER,,466,504,543,780,410,"1,024",,,,
Queens Local,,"358,305","349,112","334,451","328,842","179,758","182,833",,"+3,075",+1.7%,
,,,,,,,,,,,
S40/90,,"4,629","4,378","4,072","4,460","3,184","2,636",,-548,-17.2%,132
S42,,914,883,828,764,335,314,,-21,-6.2%,182
S44/94,,"7,016","6,527","5,928","5,736","3,315","3,101",,-214,-6.5%,120
S46/96,,"7,299","6,942","6,435","6,146","3,557","3,147",,-410,-11.5%,116
S48/98,,"7,702","7,346","6,700","6,411","3,897","3,316",,-581,-14.9%,112
S51/81,,"4,169","3,976","3,661","3,570","2,083","1,786",,-297,-14.3%,149
S52,,"3,450","3,412","3,119","3,017","1,821","1,553",,-268,-14.7%,153
S53,,"9,378","9,136","8,340","7,877","5,209","4,750",,-459,-8.8%,81
S54,,"1,315","1,114",944,971,536,508,,-28,-5.2%,176
S55,,355,298,289,277,132,134,,+2,+1.2%,188
S56,,515,486,448,451,209,217,,+8,+3.6%,185
S57,,"1,436","1,349","1,183","1,155",759,719,,-40,-5.3%,170
S59,,"3,592","3,397","3,065","2,969","1,833","1,762",,-71,-3.9%,150
S61/91,,"4,385","4,217","3,931","3,810","1,982","1,964",,-18,-0.9%,140
