Route,Avg. 2011 Ridership,Avg. 2016 Ridership,Ridership Change %,# of Stops,# of Stops near Subway,Borough
M102,15917,12292,-23%,60,26,Manhattan
M103,12911,9786,-24%,56,23,Manhattan
M104,12626,8223,-35%,41,27,Manhattan
M106,1777,2476,39%,17,3,Manhattan
M116,8965,10296,15%,21,5,Manhattan
Q1,4731,4381,-7%,43,2,Queens
Q2,6077,5722,-6%,34,2,Queens
Q3,9712,9684,0%,49,2,Queens
Q4,10568,9242,-13%,38,2,Queens
Q5,12704,11728,-8%,51,2,Queens
Q06,11978,11334,-5%,34,1,Queens
Q07,5291,5341,1%,46,5,Queens
Q08,9791,10696,9%,48,4,Queens
Q09,5083,5050,-1%,22,1,Queens
Q10,24244,23363,-4%,45,3,Queens
Q11,7332,5004,-32%,49,5,Queens
Q12,10828,11099,3%,44,1,Queens
Q13,9111,8516,-7%,47,1,Queens
Q15,5615,5876,5%,34,1,Queens
Q15A,5615,5876,5%,36,1,Queens
Q16,3982,4054,2%,46,1,Queens
Q17,19105,17224,-10%,51,4,Queens
Q18,8337,8780,5%,46,4,Queens
Q19,2365,3467,47%,34,2,Queens
Q20A,13150,14192,8%,61,8,Queens
Q20B,13150,14192,8%,64,8,Queens
Q21,3236,2926,-10%,49,3,Queens
Q22,7350,7247,-1%,60,9,Queens
Q23,16493,16059,-3%,49,3,Queens
Q24,8270,8512,3%,66,14,Queens
Q25,17336,20083,16%,56,4,Queens
Q26,1509,1466,-3%,29,1,Queens
Q27,24567,24580,0%,76,2,Queens
Q28,9956,9893,-1%,38,1,Queens
Q29,6115,5402,-12%,27,3,Queens
Q30,9679,10555,9%,56,4,Queens
Q31,6320,5692,-10%,61,3,Queens
Q32,12271,9454,-23%,46,23,Queens
Q33,9100,7773,-15%,20,2,Queens
Q34,6880,6941,1%,48,4,Queens
Q35,4400,4426,1%,30,1,Queens
Q36,5444,6101,12%,68,2,Queens
Q37,6639,7842,18%,32,3,Queens
Q38,6555,8465,29%,55,5,Queens
Q39,5727,5548,-3%,47,3,Queens
Q40,5348,4976,-7%,24,2,Queens
Q41,7111,7204,1%,55,3,Queens
Q42,912,1195,31%,20,2,Queens
Q43,16008,14853,-7%,48,6,Queens
Q44 SBS,28143,27712,-2%,33,9,Queens
Q46,22593,21468,-5%,55,1,Queens
Q47,7943,8043,1%,40,2,Queens
Q48,2629,2854,9%,27,3,Queens
Q49,8514,9303,9%,23,1,Queens
Q50,3225,4690,45%,27,2,Queens
Q52,0,5356,,21,3,Queens
Q53,14931,14752,-1%,25,9,Queens
Q54,12073,11952,-1%,68,7,Queens
Q55,7591,7343,-3%,34,3,Queens
Q56,9267,7862,-15%,57,21,Queens
Q58,26563,29412,11%,57,6,Queens
Q59,6965,7127,2%,48,3,Queens
Q60,14525,13761,-5%,55,20,Queens
Q64,10200,9731,-5%,19,1,Queens
Q65,18724,21052,12%,53,4,Queens
Q66,12535,13824,10%,40,5,Queens
Q67,2645,2768,5%,43,7,Queens
Q69,10432,9849,-6%,42,2,Queens
Q70 SBS,0,4183,,7,4,Queens
Q72,5603,6204,11%,25,2,Queens
Q76,5818,5742,-1%,65,2,Queens
Q77,6678,6413,-4%,49,2,Queens
Q83,9361,8664,-7%,46,4,Queens
Q84,4897,4441,-9%,43,2,Queens
Q85,12822,11820,-8%,53,1,Queens
Q88,10803,11010,2%,63,1,Queens
Q100,3791,4129,9%,10,1,Queens
Q101,3436,3632,6%,26,7,Queens
Q102,2462,2663,8%,39,13,Queens
Q103,544,1385,155%,27,4,Queens
Q104,2125,2296,8%,23,4,Queens
Q110,6900,6281,-9%,36,4,Queens
Q111,14470,12390,-14%,59,1,Queens
Q112,5512,5217,-5%,33,8,Queens
Q113,11196,4569,-59%,17,1,Queens
Q114,0,6396,,67,2,Queens
S40,4559,4629,2%,48,0,Staten Island
S42,906,914,1%,23,0,Staten Island
S44,6755,7016,4%,60,0,Staten Island
S46,7126,7299,2%,57,0,Staten Island
S48,7765,7702,-1%,46,0,Staten Island
S51,4364,4169,-4%,55,0,Staten Island
S52,3259,3450,6%,60,0,Staten Island
S53,9763,9378,-4%,47,1,Staten Island
S54,1621,1315,-19%,69,0,Staten Island
S55,529,355,-33%,39,0,Staten Island
S56,661,515,-22%,40,0,Staten Island
S57,1472,1436,-2%,63,0,Staten Island
S59,4000,3592,-10%,84,0,Staten Island
S61,4534,4385,-3%,55,0,Staten Island
S62,4923,4431,-10%,57,0,Staten Island
S66,1825,1659,-9%,50,0,Staten Island
S74,5479,5411,-1%,95,0,Staten Island
S76,4436,4617,4%,72,0,Staten Island
S78,6344,6163,-3%,114,0,Staten Island
S79 SBS,8969,11378,27%,23,1,Staten Island
S81,4364,4169,-4%,33,0,Staten Island
S84,5479,5411,-1%,43,0,Staten Island
S86,4436,4617,4%,71,0,Staten Island
S89,901,756,-16%,17,0,Staten Island
S90,4559,4629,2%,28,0,Staten Island
S91,4534,4385,-3%,36,0,Staten Island
S92,4923,4431,-10%,39,0,Staten Island
S93,1646,3686,124%,21,1,Staten Island
S94,6755,7016,4%,39,0,Staten Island
S96,7126,7299,2%,38,0,Staten Island
S98,7765,7702,-1%,25,0,Staten Island
